2021-07-02 14:07:603 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 15:07:117 INFO  LoginPage :23 - Send text Admin to field Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='txtUsername']'
2021-07-02 15:07:853 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 15:07:07 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (0208e6cfe302053ee00b9e90f6c31cf9)] -> xpath: //input[@id='txtUsername']]
2021-07-02 15:07:109 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (0208e6cfe302053ee00b9e90f6c31cf9)] -> xpath: //input[@id='txtPassword']]
2021-07-02 15:07:202 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (0208e6cfe302053ee00b9e90f6c31cf9)] -> xpath: //input[@id='btnLogin']]
2021-07-02 15:07:625 INFO  LoginPage :23 - Send text Admin to field Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='txtUsername']'
2021-07-02 15:07:398 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 15:07:612 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (840b40b5ec5d205a2d796361ca064137)] -> xpath: //input[@id='txtUsername']]
2021-07-02 15:07:736 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (840b40b5ec5d205a2d796361ca064137)] -> xpath: //input[@id='txtPassword']]
2021-07-02 15:07:843 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (840b40b5ec5d205a2d796361ca064137)] -> xpath: //input[@id='btnLogin']]
2021-07-02 15:07:102 INFO  LoginPage :23 - Send text Admin to field Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='txtUsername']'
2021-07-02 16:07:170 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 16:07:143 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //input[@id='txtUsername']]
2021-07-02 16:07:222 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //input[@id='txtPassword']]
2021-07-02 16:07:318 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //input[@id='btnLogin']]
2021-07-02 16:07:577 INFO  DashBoard :20 - Getting text from : [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //a[@id='welcome']]
2021-07-02 16:07:683 INFO  DashBoard :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //a[@id='welcome']]
2021-07-02 16:07:979 INFO  DashBoard :30 - Clicking on : [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //a[contains(text(),'Logout')]]
2021-07-02 16:07:860 INFO  LoginPage :38 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (449bbdb0b5bc94a75a421883a1b06e62)] -> xpath: //div[@id='logInPanelHeading']]
2021-07-02 16:07:990 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 16:07:906 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (cbfde5bfebed0c0a29d997f087716e72)] -> xpath: //input[@id='txtUsername']]
2021-07-02 16:07:985 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (cbfde5bfebed0c0a29d997f087716e72)] -> xpath: //input[@id='txtPassword']]
2021-07-02 16:07:72 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (cbfde5bfebed0c0a29d997f087716e72)] -> xpath: //input[@id='btnLogin']]
2021-07-02 16:07:479 INFO  LoginPage :23 - Send text Admin to field Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='txtUsername']'
2021-07-02 16:07:846 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 16:07:921 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (90766d11c6fdd822bbab0867e213dda2)] -> xpath: //input[@id='txtUsername']]
2021-07-02 16:07:13 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (90766d11c6fdd822bbab0867e213dda2)] -> xpath: //input[@id='txtPassword']]
2021-07-02 16:07:92 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (90766d11c6fdd822bbab0867e213dda2)] -> xpath: //input[@id='btnLogin']]
2021-07-02 16:07:471 INFO  LoginPage :23 - Send text Admin to field Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='txtUsername']'
2021-07-02 16:07:475 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-02 16:07:332 INFO  LoginPage :23 - Send text Admin to field [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //input[@id='txtUsername']]
2021-07-02 16:07:411 INFO  LoginPage :28 - Send text to admin123 to field [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //input[@id='txtPassword']]
2021-07-02 16:07:500 INFO  LoginPage :33 - Clicking on : [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //input[@id='btnLogin']]
2021-07-02 16:07:340 INFO  DashBoard :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //a[@id='welcome']]
2021-07-02 16:07:526 INFO  DashBoard :30 - Clicking on : [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //a[contains(text(),'Logout')]]
2021-07-02 16:07:248 INFO  LoginPage :38 - Getting Text from : [[ChromeDriver: chrome on WINDOWS (863a43dd0004b0c608505af869ca6504)] -> xpath: //div[@id='logInPanelHeading']]
